source,target
Busuk Akar,Durian
Busuk Akar,Selada
Busuk Akar,Kacang Hijau
Penyakit Layu Bakteri,Cabai
Penyakit Layu Bakteri,Kentang
Penyakit Layu Bakteri,Melon
Penyakit Layu Bakteri,Tomat
Jamur Daun,Cabai
Jamur Daun,Tomat
Jamur Daun,Buncis
Jamur Daun,Kangkung
Jamur Daun,Labu
Jamur Daun,Semangka
Bercak Bakteri,Tomat
Bercak Bakteri,Selada
Bercak Bakteri,Terong
Bercak Bakteri,Paprika
Penyakit Kuning,Cabai
Penyakit Kuning,Lada
Penyakit Kuning,Terong
Embun Tepung,Tomat
Embun Tepung,Labu
Embun Tepung,Semangka
Embun Tepung,Melon
Busuk Batang,Lada
Busuk Batang,Cabai
Busuk Batang,Terong
Busuk Batang,Karet
Busuk Batang,Singkong
Keriting Daun,Semangka
Keriting Daun,Melon
Keriting Daun,Cabai
Keriting Daun,Tomat
Penyakit Busuk Buah,Kakao
Penyakit Busuk Buah,Pala
Penyakit Busuk Buah,Tomat
Penyakit Busuk Buah,Durian
Bercak Hitam pada Daun,Buncis
Bercak Hitam pada Daun,Mawar
Bercak Hitam pada Daun,Anggrek
Penyakit Nematoda,Tomat
Penyakit Nematoda,Wortel
Penyakit Nematoda,Selada
Penyakit Nematoda,Kentang
Hawar Daun,Tomat
Hawar Daun,Kentang
Hawar Daun,Apel
Hawar Daun,Padi
Penyakit Layu Fusarium,Pisang
Penyakit Layu Fusarium,Tomat
